"community","Cluster","MAG"
4,"Cluster_3","SAO-all-SRF-20-180-00_bin-40"
4,"Cluster_3","IO-all-DCM-20-180-00_bin-54"
4,"Cluster_3","SPO-SPSG-DCM-20-180-00_bin-25"
4,"Cluster_3","IO-all-SRF-20-180-00_bin-36"
4,"Cluster_3","MS-all-DCM-20-180-00_bin-41"
4,"Cluster_3","SPO-PEOD-DCM-20-180-00_bin-18"
4,"Cluster_3","NPO-all-SRF-20-180-00_bin-25"
4,"Cluster_3","SPO-all-SRF-20-180-00_bin-214"
4,"Cluster_3","NPO-all-DCM-20-180-00_bin-49"
4,"Cluster_3","SPO-SPSG-SRF-20-180-00_bin-71"
4,"Cluster_3","MS-all-SRF-20-180-00_bin-12"
4,"Cluster_3","MS-all-SRF-5-20-00_bin-9"
4,"Cluster_3","SPO-PEOD-SRF-20-180-00_bin-32"
4,"Cluster_3","SAO-all-SRF-20-180-00_bin-40"
4,"Cluster_3","IO-all-DCM-20-180-00_bin-54"
4,"Cluster_3","SPO-SPSG-DCM-20-180-00_bin-25"
4,"Cluster_3","IO-all-SRF-20-180-00_bin-36"
4,"Cluster_3","MS-all-DCM-20-180-00_bin-41"
4,"Cluster_3","SPO-PEOD-DCM-20-180-00_bin-18"
4,"Cluster_3","NPO-all-SRF-20-180-00_bin-25"
4,"Cluster_3","SPO-all-SRF-20-180-00_bin-214"
4,"Cluster_3","NPO-all-DCM-20-180-00_bin-49"
4,"Cluster_3","SPO-SPSG-SRF-20-180-00_bin-71"
4,"Cluster_3","MS-all-SRF-20-180-00_bin-12"
4,"Cluster_3","MS-all-SRF-5-20-00_bin-9"
4,"Cluster_3","SPO-PEOD-SRF-20-180-00_bin-32"
4,"Cluster_3","SAO-all-SRF-20-180-00_bin-40"
4,"Cluster_3","IO-all-DCM-20-180-00_bin-54"
4,"Cluster_3","SPO-SPSG-DCM-20-180-00_bin-25"
4,"Cluster_3","IO-all-SRF-20-180-00_bin-36"
4,"Cluster_3","MS-all-DCM-20-180-00_bin-41"
4,"Cluster_3","SPO-PEOD-DCM-20-180-00_bin-18"
4,"Cluster_3","NPO-all-SRF-20-180-00_bin-25"
4,"Cluster_3","SPO-all-SRF-20-180-00_bin-214"
4,"Cluster_3","NPO-all-DCM-20-180-00_bin-49"
4,"Cluster_3","SPO-SPSG-SRF-20-180-00_bin-71"
4,"Cluster_3","MS-all-SRF-20-180-00_bin-12"
4,"Cluster_3","MS-all-SRF-5-20-00_bin-9"
4,"Cluster_3","SPO-PEOD-SRF-20-180-00_bin-32"
4,"Cluster_3","SAO-all-SRF-20-180-00_bin-40"
4,"Cluster_3","IO-all-DCM-20-180-00_bin-54"
4,"Cluster_3","SPO-SPSG-DCM-20-180-00_bin-25"
4,"Cluster_3","IO-all-SRF-20-180-00_bin-36"
4,"Cluster_3","MS-all-DCM-20-180-00_bin-41"
4,"Cluster_3","SPO-PEOD-DCM-20-180-00_bin-18"
4,"Cluster_3","NPO-all-SRF-20-180-00_bin-25"
4,"Cluster_3","SPO-all-SRF-20-180-00_bin-214"
4,"Cluster_3","NPO-all-DCM-20-180-00_bin-49"
4,"Cluster_3","SPO-SPSG-SRF-20-180-00_bin-71"
4,"Cluster_3","MS-all-SRF-20-180-00_bin-12"
4,"Cluster_3","MS-all-SRF-5-20-00_bin-9"
4,"Cluster_3","SPO-PEOD-SRF-20-180-00_bin-32"
4,"Cluster_3","SAO-all-SRF-20-180-00_bin-40"
4,"Cluster_3","IO-all-DCM-20-180-00_bin-54"
4,"Cluster_3","SPO-SPSG-DCM-20-180-00_bin-25"
4,"Cluster_3","IO-all-SRF-20-180-00_bin-36"
4,"Cluster_3","MS-all-DCM-20-180-00_bin-41"
4,"Cluster_3","SPO-PEOD-DCM-20-180-00_bin-18"
4,"Cluster_3","NPO-all-SRF-20-180-00_bin-25"
4,"Cluster_3","SPO-all-SRF-20-180-00_bin-214"
4,"Cluster_3","NPO-all-DCM-20-180-00_bin-49"
4,"Cluster_3","SPO-SPSG-SRF-20-180-00_bin-71"
4,"Cluster_3","MS-all-SRF-20-180-00_bin-12"
4,"Cluster_3","MS-all-SRF-5-20-00_bin-9"
4,"Cluster_3","SPO-PEOD-SRF-20-180-00_bin-32"
4,"Cluster_3","SAO-all-SRF-20-180-00_bin-40"
4,"Cluster_3","IO-all-DCM-20-180-00_bin-54"
4,"Cluster_3","SPO-SPSG-DCM-20-180-00_bin-25"
4,"Cluster_3","IO-all-SRF-20-180-00_bin-36"
4,"Cluster_3","MS-all-DCM-20-180-00_bin-41"
4,"Cluster_3","SPO-PEOD-DCM-20-180-00_bin-18"
4,"Cluster_3","NPO-all-SRF-20-180-00_bin-25"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
